system:index,ash,camphor,category,crepemyrtl,id,ispalm,jacaranda,magnolia,mexfanpalm,oak,pine,place,species,sum,.geo
000100000000000139e9_0,true,false,ash,false,425117,False,false,False,False,False,False,Los Angeles City,Modesto Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.52017024135739,34.0434094065133]}"
000100000000000151af_0,true,false,ash,false,447858,False,false,False,False,False,False,Los Angeles City,Modesto Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.52187704039723,34.04628401542248]}"
00010000000000015226_0,true,false,ash,false,448056,False,false,False,False,False,False,Los Angeles City,Modesto Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55062312948905,34.04251109122918]}"
0001000000000001cd18_0,true,false,ash,false,1502040,False,false,False,False,False,False,Los Angeles City,Modesto Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55035363490381,34.042870417342826]}"
00010000000000020baa_0,true,false,ash,false,1597400,False,false,False,False,False,False,Los Angeles City,Modesto Ash,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.56328937499514,34.072424990190356]}"
00010000000000000a94_0,true,false,ash,false,19402,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.56284021735307,34.07988100704855]}"
000100000000000012ed_0,true,false,ash,false,38842,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.56284021735307,34.07988100704855]}"
00010000000000013210_0,true,false,ash,false,416804,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54999430879016,34.04152294441665]}"
00010000000000013212_0,true,false,ash,false,416807,False,false,False,False,False,False,Los Angeles City,Shamel Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54990447726175,34.043319574984885]}"
00010000000000013214_0,true,false,ash,false,416810,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55017397184699,34.04322974345647]}"
00010000000000013215_0,true,false,ash,false,416814,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.5502638033754,34.04305008039965]}"
00010000000000013217_0,true,false,ash,false,416816,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55053329796064,34.04278058581441]}"
00010000000000013219_0,true,false,ash,false,416819,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55080279254587,34.04251109122918]}"
0001000000000001321b_0,true,false,ash,false,416822,False,false,False,False,False,False,Los Angeles City,Shamel Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55089262407428,34.04233142817235]}"
0001000000000001321c_0,true,false,ash,false,416823,False,false,False,False,False,False,Los Angeles City,Shamel Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.5510722871311,34.04224159664394]}"
0001000000000001325a_0,true,false,ash,false,416967,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54999430879016,34.04215176511553]}"
0001000000000001325e_0,true,false,ash,false,416971,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54999430879016,34.04215176511553]}"
00010000000000013332_0,true,false,ash,false,417690,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54990447726175,34.04215176511553]}"
00010000000000013334_0,true,false,ash,false,417692,False,false,False,False,False,False,Los Angeles City,Shamel Ash,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54981464573333,34.04224159664394]}"
00010000000000013335_0,true,false,ash,false,417693,False,false,False,False,False,False,Los Angeles City,Shamel Ash,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54981464573333,34.04242125970077]}"
00010000000000013336_0,true,false,ash,false,417694,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54972481420492,34.04251109122918]}"
00010000000000013337_0,true,false,ash,false,417695,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54963498267652,34.04242125970077]}"
00010000000000013338_0,true,false,ash,false,417696,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54963498267652,34.04260092275759]}"
00010000000000013339_0,true,false,ash,false,417697,False,false,False,False,False,False,Los Angeles City,Shamel Ash,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54954515114811,34.042690754286]}"
0001000000000001333a_0,true,false,ash,false,417700,False,false,False,False,False,False,Los Angeles City,Shamel Ash,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.54936548809128,34.042690754286]}"
