,Class_Cnam,Area_of_Burn1,Area_of_Burn2,Area_of_Burn3,Area_of_Burn4,Area_of_Burn5,Area_of_Burn6,Total_Area,Proportion_of_burn_1,Proportion_of_burn_2,Proportion_of_burn_3,Proportion_of_burn_4,Proportion_of_burn_5,Proportion_of_burn_6,Total_Burnt_Area,Total_Proportion_Burn
0,(California Walnut)/Undifferentiated Tall Shrubs Shrubland Mapping Unit,54457.826018572225,0.0,0.0,0.0,0.0,0.0,54457.826018572225,1.0,0.0,0.0,0.0,0.0,0.0,54457.826018572225,1.0
1,Arroyo Willow Woodland/Forest Alliance,0.0,0.0,0.0,0.0,5175.843315934352,0.0,5175.843315934352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Artificial cuts/Embankments Undifferentiated Vegetation Mapping Unit,180790.60824282814,199888.5048210938,179710.62007175412,272854.94056280295,209528.77842786087,0.0,1042773.4521263398,0.17337477078475144,0.19168929206386798,0.17233908257378694,0.2616627226234223,0.20093413195417148,0.0,833244.673698479,0.7990658680458286
3,Ashy Buckwheat Shrubland Alliance,11468.35961156771,182720.7364115669,108593.98564286057,48578.35814289221,12286.349469362183,0.0,363647.7892782496,0.031536998023085884,0.5024662373837666,0.29862407759550147,0.13358628754297713,0.033786399454668846,0.0,351361.4398088874,0.966213600545331
4,Beach Sand Mapping Unit,0.0,0.0,0.0,69850.19902339311,849341.0803165628,0.0,919191.2793399559,0.0,0.0,0.0,0.07599092875810405,0.9240090712418959,0.0,69850.19902339311,0.07599092875810405
5,Big Berry Manzanita Shrubland Alliance,30852.91794013822,0.0,0.0,0.0,0.0,0.0,30852.91794013822,1.0,0.0,0.0,0.0,0.0,0.0,30852.91794013822,1.0
6,Big Pod Ceanothus Shrubland Alliance,14008194.798565388,10644351.264478523,509393.2664482188,1753765.7135336935,656841.4278208803,0.0,27572546.470846705,0.5080486422745422,0.3860489010593606,0.018474654380828258,0.06360550395256395,0.023822298332704918,0.0,26915705.04302582,0.976177701667295
7,Big Pod Ceanothus and Greenbark Ceanothus and Birch Leaf Mountain Mahogany Shrubland Superalliance,823969.1797098785,52541.5863314111,0.0,0.0,12941.44254974526,0.0,889452.208591035,0.9263782491642952,0.05907184874456747,0.0,0.0,0.014549902091137153,0.0,876510.7660412897,0.9854500979088627
8,Birch Leaf Mountain Mahogany Shrubland Alliance,1060127.6620928913,131910.30178054483,8460.235767717022,0.0,7309.701401446689,0.0,1207807.9010426,0.877728702699967,0.10921463725040849,0.007004620321173595,0.0,0.006052039728450884,0.0,1200498.1996411532,0.9939479602715491
9,Black Sage Shrubland Alliance,129711.95490143429,424854.5437122289,138832.51956821245,229092.1914760943,84234.7497206468,11525.528150500111,1018251.4875291169,0.12738695350810886,0.41723930572709345,0.13634403805792872,0.22498586477099883,0.08272489728942144,0.011318940646448639,922491.2096579699,0.9059561620641298
10,Black Sage-California Sagebrush Shrubland Alliance,0.0,22671.434635033653,13177.43080516622,0.0,0.0,0.0,35848.86544019987,0.0,0.6324170753144831,0.3675829246855169,0.0,0.0,0.0,35848.86544019987,1.0
11,Bush Mallow Shrubland Alliance,260162.5960122672,279493.9391259331,97292.80837542481,43172.54119501953,23644.008003959054,0.0,703765.8927126037,0.3696720723556144,0.39714050086833325,0.13824598404508953,0.061345031980187,0.03359641075077581,0.0,680121.8847086446,0.9664035892492241
12,Bush Monkey Flower Shrubland Alliance,40105.02955819306,50282.67023220028,6356.605952201559,0.0,10006.14156891329,0.0,106750.4473115082,0.37568956916089247,0.4710300659019307,0.05954641045814417,0.0,0.09373395447903272,0.0,96744.30574259491,0.9062660455209673
13,Bush Poppy Shrubland Alliance,21917.36279489182,0.0,4927.686787034235,11581.970252520114,3237.389134628409,0.0,41664.408969074575,0.5260452107015364,0.0,0.11827089136658131,0.27798234846237313,0.07770154946950915,0.0,38427.01983444617,0.9222984505304909
14,California Annual Grassland/ Herbaceous Alliance,7237.73340305934,0.0,50712.56152225531,7730799.058143525,250160.42871458016,0.0,8038909.781783421,0.0009003376825375517,0.0,0.00630838794051061,0.9616725735200947,0.03111870085685704,0.0,7788749.35306884,0.9688812991431429
15,California Bay Woodland/Forest Alliance,727664.1724460345,357615.95530178025,149784.85229055796,348209.4904458743,8977.413356813233,0.0,1592251.88384106,0.457003178850483,0.22459760225818504,0.09407107870974867,0.2186899535052664,0.005638186676316953,0.0,1583274.470484247,0.9943618133236831
16,California Buckwheat Shrubland Alliance,122645.88555637462,639473.9840011775,300132.1778769588,223224.09255122987,283743.8798345921,0.0,1569220.0198203328,0.07815722716207565,0.4075107224762489,0.1912620117549369,0.1422516216539143,0.18081841695282427,0.0,1285476.1399857407,0.8191815830471757
17,California Encelia Shrubland Alliance,8270.935080175279,78212.98459464556,218701.37682419535,141578.32899965986,66030.79396454543,0.0,512794.4194632215,0.016129144090204914,0.15252308064607387,0.4264893854600167,0.2760917896646769,0.1287666001390276,0.0,446763.62549867603,0.8712333998609724
18,California Sagebrush Shrubland Alliance,57216.07407541597,167142.71908355126,52401.8267773953,59020.15455685933,6262.028157823113,0.0,342042.80265104497,0.1672775267655268,0.48866024306926203,0.1532025418200543,0.17255195577692714,0.018307732568229738,0.0,335780.77449322183,0.9816922674317702
19,California Sagebrush-California Buckwheat Shrubland Alliance,0.0,0.0,0.0,24510.527174239574,0.0,0.0,24510.527174239574,0.0,0.0,0.0,1.0,0.0,0.0,24510.527174239574,1.0
20,California Sycamore Woodland/Forest Alliance,173337.77663388915,852440.8762117103,415090.704604423,448029.5401390471,46622.16426595185,0.0,1935521.0618550214,0.08955613041366783,0.4404193232569234,0.21445940981215478,0.2314774811645043,0.02408765535274968,0.0,1888898.8975890693,0.9759123446472502
21,California Walnut Woodland/Forest Alliance,149643.80527027193,128871.03492512609,142189.20183746165,0.0,121775.19238097305,0.0,542479.2344138328,0.2758516746396148,0.23755938799090737,0.2621099441550088,0.0,0.2244789932144689,0.0,420704.04203285964,0.7755210067855309
22,Ceanothus and Birch Leaf Mountain Mahogany Shrubland Superalliance,0.0,5240.828148874419,0.0,0.0,122704.76217399619,0.0,127945.59032287062,0.0,0.040961381597045994,0.0,0.0,0.9590386184029539,0.0,5240.828148874419,0.040961381597045994
